author,title,year,journal
Robert L. Cheng,Segregatories and reciprocals and their scopes: Interfacing constructions in short-term memory with long-term memory through their semantic features,2000,LANGUAGE AND LINGUISTICS
Kawai Chui,Morphologization of the degree adverb HEN,2000,LANGUAGE AND LINGUISTICS
Hsin-I Hsieh,The subject chain in a compositional cognitive grammar,2000,LANGUAGE AND LINGUISTICS
Hak-khiam Tiun,A multi-dimensional analysis of spoken and written Taiwanese register ,2000,LANGUAGE AND LINGUISTICS
Chinfa Lien,A frame-based account of lexical polysemy in Taiwanese,2000,LANGUAGE AND LINGUISTICS
Yen-Hwei Lin,Agreement and disagreement of vowel features: Mid vowel assimilation in Yanggu,2000,LANGUAGE AND LINGUISTICS
Jackson T.-S. Sun,Parallelisms in the verb morphology of Sidaba rGyalrong and Lavrung in rGyalrongic,2000,LANGUAGE AND LINGUISTICS
Ting-chi Tang,Finite and nonfinite clauses in Chinese,2000,LANGUAGE AND LINGUISTICS
Melody Ya-yin Chang,On Tsou wh-Questions: Movement or in Situ?,2000,LANGUAGE AND LINGUISTICS
Hintat Cheung,Three to four-years old Children's perception and production of Mandarin consonants,2000,LANGUAGE AND LINGUISTICS
Hwang-cherng Gong,Prefixes in Old Chinese from the perspective of Sino-Tibetan comparative studies,2000,LANGUAGE AND LINGUISTICS
Michael Ian Hartley & Wong May Kim,Loanwords from English to Malay in the field of mathematics,2000,LANGUAGE AND LINGUISTICS
Shuanfan Huang,The story of heads and tails—On a sequentially sensitive lexicon,2000,LANGUAGE AND LINGUISTICS
Jo-wang Lin,On the temporal meaning of the verbal -le in Chinese,2000,LANGUAGE AND LINGUISTICS
James A. Matisoff,An extrusional approach to *p-/w- variation in Sino-Tibetan,2000,LANGUAGE AND LINGUISTICS
James Myers,Rules vs. analogy in Mandarin classifier selection,2000,LANGUAGE AND LINGUISTICS
Jackson T.-S. Sun,Stem alternations in Puxi verb inflection: Toward validating the rGyalrongic subgroup in Qiangic,2000,LANGUAGE AND LINGUISTICS
David Wible & Eva Chen,Linguistic limits on metalinguistic negation: Evidence from Mandarin and English,2000,LANGUAGE AND LINGUISTICS
Axel Schuessler,[Book Review] The Roots of Old Chinese,2000,LANGUAGE AND LINGUISTICS
Henry Y. Chang & Wei-tien Dylan Tsai,Actor-sensitivity and obligatory control in Kavalan and some other Formosan languages,2001,LANGUAGE AND LINGUISTICS
Hwang-cherng Gong,Personal agreements and phonological alternations in the Tangut verb,2001,LANGUAGE AND LINGUISTICS
Bufan Huang,A study on the genetic affiliation of Guanyinqiao speech,2001,LANGUAGE AND LINGUISTICS
Shu-ing Shyu,Remarks on object movement in Mandarin SOV order,2001,LANGUAGE AND LINGUISTICS
Andrew Simpson,Definiteness agreement and the Chinese DP,2001,LANGUAGE AND LINGUISTICS
Hongkai Sun,On language of the Qiangic branch in Tibeto-Burman,2001,LANGUAGE AND LINGUISTICS
H. Samuel Wang,A concept formation experiment on the nasality of vowels in Taiwan Min,2001,LANGUAGE AND LINGUISTICS
Anne O. Yue,The historic role of the Late Professor Y. R. Chao's 1929 field materials,2001,LANGUAGE AND LINGUISTICS
Shu-juo Chen & Mutsu Hsu,台灣原鄉論的震撼——族群遺傳基因資料的評析,2001,LANGUAGE AND LINGUISTICS
Paul Jen-kuei Li,Some remarks on the DNA study on Austronesian origins,2001,LANGUAGE AND LINGUISTICS
Marie Lin,從DNA的研究看台灣原住民的來源,2001,LANGUAGE AND LINGUISTICS
Lawrence A. Reid,"Comment on: Bing Su et al. ?Polynesian origins: Insights from the Y chromosome,? PNAS 97.15:8225-8228 (July 18, 2000)",2001,LANGUAGE AND LINGUISTICS
Cheng-Hwa Tsang,從“Polynesian origins: Insights from the Y chromosome”一文談南島民族的起源和擴散問題,2001,LANGUAGE AND LINGUISTICS
Ming-Ke Wang,「起源」的魔力及相關探討,2001,LANGUAGE AND LINGUISTICS
Paul Jen-Kuei Li,The dispersal of the Formosan aborigines in Taiwan,2001,LANGUAGE AND LINGUISTICS
