doi,author,title,subtitle,year,abstract,journal
10.1075/lv.20015.mun,Carlos Muñoz Pérez,Towards a syntactic understanding  of connective particles,The final pero phenomenon in Bahiense Spanish,2022,"
The contrastive connector pero ‘but’ is rigidly sentence-initial in most Spanish varieties. However, at least three Spanish dialects allow locating it at the end of a sentence. This paper discusses the properties of final pero as attested in the dialect spoken in Bahia Blanca (Argentina), i.e., the so-called pero bahiense. First, I demonstrate that pero bahiense cannot be reduced to superficially similar phenomena in Spanish. Then, I offer a comparison between pero bahiense and its sentence-initial counterpart showing that they share a number of non-trivial characteristics but also differ in relevant regards. Based on these properties, I advance an account of the pero bahiense phenomenon according to which instances of pero that express concessivity may optionally attract the CP projection to their left. While the analysis does not cover all properties of pero bahiense, it highlights aspects of the syntax of connective particles that require further investigation.
",LINGUISTIC VARIATION
10.1075/lv.22008.and,"Alexander Andrason, Admire Phiri",Talking to animals in a moribund language,"Pragma-semantics, phonetics, and morphology  of conative animal calls in Tjwao",2022,"
The present article is dedicated to conative animal calls (CACs) in a Kalahari Khoe language, Tjwao. By using a
					prototype approach to categorization, the authors test the Tjwao CACs for their compliance with the prototype of CACs posited
					recently in scholarly literature. The authors conclude that Tjwao CACs largely conform to the pragma-semantic, phonetic, and
					morphological properties associated with CACs across languages. In light of the Tjwao data, a few refinements are also proposed.
					These concern the potential prevalence of whistles as the most common sounds not included in the International Phonetic Alphabet,
					the correlation of summonses with replication and repetitions as well as front and/or close vowels, the higher frequency of
					summonses and dispersals among all semantic types of CACs, and the lesser extent of monosemy than previously claimed.
",LINGUISTIC VARIATION
10.1075/lv.23037.ma,Yanxiao Ma,The Oxford Handbook of Universal Grammar, ,2023, ,LINGUISTIC VARIATION
10.1075/lv.21004.ter,"Alexandra Ter-Avanesova, Michael Daniel",The second genitive in the history  of Russian and across its dialects, ,2022,"
In this paper, we provide a survey of the diachronic development of the Russian second genitive (Gen2). As
					endpoints of this development, we consider data from Russian dialects representing different dialect groups. Assumedly, the
					expansion of Gen2 started off as ‘recycling’ of the genitive of a declension type that became obsolete already in the pre-written
					period. Nouns of this declension type were adopted by another declension, carrying their old genitive over as a variant form. This
					alternative ending started spreading, always as a variant, to other nouns in the adoptive declension. As the survey of the
					literature shows, in the course of this expansion new constraints evolved, including phonological, morphophonological,
					phonotactic, syntactic and semantic conditioning. While there is no declension class or even individual nouns where Gen2 became
					the only option, it expanded to different extents in different dialects. We believe that the diversity of functions associated
					with the form, the range of language-internal factors driving its expansion, as well as the current geographic distribution of
					constraints on its formation weaken the claim that emergence of Gen2 as a morphological category dedicated to partitive was due to
					contact with the languages of the Circumbaltic area, a suggestion made on a macro-areal basis and also based on comparison with
					the northern dialects alone. While we cannot argue that the data we present disproves the contact factor, we would at least expect
					that the increased granularity of dialectal data would provide some data to support it. This is not what happens, which we
					consider to be an argument against contact-induced change.
The aim of the paper is two-fold: to present a synopsis of the discussions of the history of Gen2 and a survey of
					the data on the use of Gen2 in the dialects, both firsthand and available from the literature; and to question the role of contact
					in the emergence of the new category of Gen2 in Russian.
",LINGUISTIC VARIATION
10.1075/lv.20019.kal,"Andra Kalnača, Ilze Lokmane",Partitive genitive constructions  and agreement variations in Latvian, ,2022,"
The article takes a closer look at the partitive genitive constructions in Latvian, their structure, semantics, and syntactic functions. With the help of a corpus analysis, an attempt has been made to find out what determines gender and number agreement variations between the partitive genitive constructions in subject position and the predicate, if it comprises a declinable participle. Attention was paid to such features as subject animacy, voice of the predicate, word order (SV / VS), quantifier lexeme and grammatical number of the genitive. 320 examples with partitive genitive constructions were selected from The Balanced Corpus of Modern Latvian LVK2018, including such quantifier lexemes as daļa ‘part’, skaits ‘number’, vairums ‘quantity’, vairākums ‘majority’, puse ‘half’, daudzums ‘amount / quantity’, lērums ‘bagful’, simts ‘hundred’, tūkstotis ‘thousand’, daudz ‘much/many’, maz ‘little / few’. The best results are given by the combination of values ‘animate’, ‘active’ and ‘SV’, in which 93.24% of the examples are partitive genitive agreement. Data analyzed so far suggest that quantifiers involving the semantic element of partitivity (e.g., daļa ‘part’) favor partitive genitive agreement, whereas quantifiers lacking this semantic element favor quantifier agreement. This is an exploratory quantitative study on agreement tendencies in Latvian.
",LINGUISTIC VARIATION
10.1075/lv.21003.gru,Riho Grünthal,Diachronic bottlenecks of the Uralic (ablative-)partitive, ,2022,"
This article discusses the emergence of the partitive case in the three western-most branches of the Uralic
                    language family, which are Saamic and Finnic in North Europe, and Mordvinic in Central Russia. The Finnic languages represent the
                    outer edge of development in the partitive from an earlier ablative case, which used to manifest ‘source’, a specific property of
                    spatial relations. In Finnic the partitive case is a multifunctional and conceptually distinct case, an inflectional category
                    which has developed highly specific functions in object marking, negative phrase and as a case of non-canonical subject. Traces of
                    this development are found in Saamic and Mordvinic as well, whereas other Uralic languages don’t share this kind of secondary
                    development and functional extension. The development of this particular affix consists of several stages, special bottlenecks,
                    enhancing functional properties and triggering the reanalysis of an inherited affix *-ta/-tä. This article focuses on the
                    diachrony of this particular affix with special emphasis on western Uralic.
",LINGUISTIC VARIATION
10.1075/lv.20016.met,"Helle Metslang, Külli Habicht","Partitive, genitive or nominative?",Estonian DOM in written use through centuries,2022,"
The object has two variants in Estonian: partial object (in partitive, the functionally unmarked variant) and
					total object (in genitive or nominative). We examine the variation in object case in Estonian texts from the 17th to the 20th
					century, focusing on the 19th century and regarding this variation as an indicator in assessing the sociolinguistic variation of
					Estonian in texts. The texts of Old Literary Estonian were written by German scholars for whom Estonian was a collective
					interlanguage. In the 19th century the development of written Estonian came gradually into the hands of native speakers, who were
					surrounded by a predominantly German-language cultural space. In the Estonian of Germans the total object was overused. The
					19th-century texts written by native Estonians represent an amalgam of native language and earlier interlanguage, they show
					fluctuations, and overuse of the partial object. By the turn of the 20th century, object case usage has stabilized.
",LINGUISTIC VARIATION
10.1075/lv.21001.iri,"Monica Alexandrina Irimia, Patricia Schneider-Zioga",Partitive sharing – How to help in Kinande, ,2022,"
This paper examines a structure in the Bantu language Kinande, namely the so-called sociative causative, where partitive morphology occurs on a nominal without giving the nominal an NP-related partitive interpretation. We argue that the source of the partitivity in this construction lies in the co-extensiveness relation (incrementality relation) between the causing and the caused subevent. Partitive morphology on the nominal signals obligatory licensing of the theme so that it can be properly mapped to the co-extensive subevents.
",LINGUISTIC VARIATION
10.1075/lv.20013.lys,"Paulina Lyskawa, Rodrigo Ranero","Optional agreement as successful/failed Agree
",Evidence from Santiago Tz’utujil (Mayan),2021,"
We investigate optional predicate agreement in Santiago Tz’utujil (Mayan). Several generalizations emerge: (i) inanimate
          arguments base-generated as complements control agreement optionally; (ii) some animate arguments base-generated as complements control
          agreement optionally; (iii) all arguments base-generated as specifiers control full agreement obligatorily. We propose that two conditions
          must be met for the operation Agree to succeed, resulting in the exponence of all the features of the agreement controller. First,
          a goal must be visible (bear the right feature). Second, a goal must be accessible (be in the right structural position). If one or both
          conditions are not met, Agree fails, but the derivation converges and 3sg agreement is exponed. While Agree is
          deterministic, surface optionality arises when the operation fails. We use optional agreement to diagnose the syntactic structure of
          understudied constructions in Mayan (nominalizations, Agent Focus). We discuss microvariation, highlighting methodological considerations
          that arise when assuming an I-language approach.
",LINGUISTIC VARIATION
10.1075/lv.20007.fuc,"Zuzanna Fuchs, Jenneke van der Wal",The locus of parametric variation in Bantu gender and nominal derivation, ,2021,"
In this paper, we capture the crosslinguistic variation in Bantu nominal structure in a unified analysis of gender
                    on n (Kramer 2014, 2015).
                    We demonstrate that this analysis accounts for the morphosyntactic properties of basic nouns as well as locative and diminutive
                    derivations. Moreover, it allows us to capture intra- and inter-language morphosyntactic variation by reference to just three
                    parameters – one strictly morphological and two structural. The presence of one or two n heads, and the size of
                    the complement distinguish between different types of locatives (structural variation); the presence or absence of a spell-out
                    rule of adjacent n heads differentiates “stacking” versus “non-stacking” prefixes in diminutive and augmentative
                    derivations (morphological variation only).
",LINGUISTIC VARIATION
