doi,author,title,subtitle,year,abstract,journal
10.1075/sll.21006.sev,"Hande Sevgi, Kadir Gökgöz","Classifiers, argument expression,  and age of acquisition effects in  Turkish Sign Language (TİD)", ,2023,"
This study investigates differences in language production of native, early-learner, and late-learner Turkish Sign Language (Türk İşaret Dili – TİD) signers in the domain of classifiers. For this study, we conducted a picture-signing task to elicit clauses with classifier constructions from adult Deaf signers of these three groups. The results indicate that there is no significant difference among these three groups with respect to the morphological encoding of thematic roles on verbal roots in classifier constructions. Nonetheless, a difference surfaces in the argument expression patterns among these groups. The data show that the age of exposure to a first linguistic input impacts the argument expression rates as well as which arguments are expressed or left unexpressed. Native signers drop the agent argument more frequently than early-learner and late-learner signers. Early-learner signers, in turn, drop the agent argument more frequently than late-learners. The data further indicate that perspective taking interacts with argument expression and age of acquisition. Overall, signers drop the agent more frequently under a character perspective than an observer perspective, with native and early-learner signers employing this strategy more than late-learner signers.
",SIGN LANGUAGE & LINGUISTICS
10.1075/sll.22002.nov,"Rama Novogrodsky, Rose Stamp, Sabrin Shaban-Rabah","Word order in simple sentences  of tri-lingual tri-modal deaf students
", ,2023,"
This study explores word order patterns produced by deaf students who use Israeli Sign Language (ISL) and Arabic.
                    Nineteen students participated in a sentence elicitation task in which they retold events portrayed in 24 short videos in three
                    language conditions: signed ISL, spoken Palestinian Arabic and written Modern Standard Arabic. A control group of 19 hearing
                    students was tested in the two Arabic conditions. Results showed that SVO word order was the most frequent in both groups, and in
                    all three languages. SOV word order, which is common in ISL but ungrammatical in Arabic, was produced only by the deaf group.
                    Finally, unique word orders, specific to the signed modality were produced only in the ISL condition. The findings suggest that
                    deaf students are sensitive to the syntactic structures of each language they use and show natural cross-linguistic interaction in
                    their language use.
",SIGN LANGUAGE & LINGUISTICS
10.1075/sll.22006.wie,"Anne Wienholz, Derya Nuhbalaoglu-Ayan, Nivedita Mani, Annika Herrmann, Edgar Onea, Markus Steinbach","Neurophysiological evidence for  the first mention effect during  pronominal reference resolution  in German Sign
					Language", ,2023,"
Anaphoric pronoun resolution in spoken language has been shown to be influenced by the first mention bias. While
					this bias has been well investigated in spoken languages, less is known about a similar bias in sign languages. In sign languages,
					pronominal pointing signs (index) are directed towards referential locations in the signing space typically associated with
					discourse referents. In German Sign Language (DGS), signers follow an ipsi-contralateral default pattern while tracking referents,
					i.e., the first referent is associated with the ipsilateral and the second referent with the contralateral area of the signing
					space. Hence, directing a pronoun to either the ipsi- or the contralateral side of the signing space refers to either the first or
					the second discourse referent. The present event-related potential study reanalyzes the data from Wienholz et al. (2018) and examines the first mention effect during pronoun resolution in ambiguous
					contexts in DGS. The original study presented participants with sentence sets containing two referents without overt localization
					in the first and a sentence-initial pronominal index sign in the second sentence directed to either the ipsilateral or
					contralateral side of the signing space. Based on the direction of the index sign, our analysis reveals an N400 for contralateral
					index signs suggesting increased processing costs triggered by a violation of the first mention effect. Thus, the current study
					provides first experimental evidence for a first mention effect in DGS and highlights the modality-independent nature of this
					effect.
",SIGN LANGUAGE & LINGUISTICS
10.1075/sll.00072.mud,Katie Mudd,How social structure affects the persistence and features of sign languages, ,2023, ,SIGN LANGUAGE & LINGUISTICS
10.1075/sll.00074.nav,Alexandra Navarrete-González,Focus and contrast in Catalan Sign Language (LSC): Form and interpretation, ,2023, ,SIGN LANGUAGE & LINGUISTICS
10.1075/sll.00073.kar,Serpil Karabüklü,Our lives – our stories: Life experiences of elderly Deaf people, ,2023, ,SIGN LANGUAGE & LINGUISTICS
10.1075/sll.00071.yi,Ran Yi,"Legal interpreting: Teaching, research, and practice", ,2022, ,SIGN LANGUAGE & LINGUISTICS
10.1075/sll.20012.bem,Gavin Bembridge,ASL negative incorporation as negative suppletion, ,2022,"
While there are several analyses of negation in American Sign Language (ASL), the phenomenon of negative incorporation has been overlooked in the generative literature, except for Sandler’s (1999) phonological analysis. The phonological approach makes several useful generalizations but is not without its drawbacks. We, therefore, situate our analysis in the Distributed Morphology framework and argue that negative incorporation is best analyzed as a case of negative suppletion. We motivate our approach based on the observations that (i) negative incorporation is sentential negation, (ii) negative incorporation blocks the occurrence of the canonical negation strategy for the affected verbs, and (iii) there is no verb-to-Neg movement in ASL. When taken together, these factors indicate that negative incorporation cannot be affixation. Suppletion, however, alleviates the problematic aspects of the phonological analysis while maintaining the relevant phonological generalizations.
",SIGN LANGUAGE & LINGUISTICS
10.1075/sll.21007.koe,Emily Koenders,Hong Kong Sign Language numerals,Interaction of syntactic processes  and the movement-parameter,2022,"
Syntactic processes trigger changes in the movement-parameter of Hong Kong Sign Language (HKSL) numeral signs. Though HKSL cardinal numerals by default do not contain movement and are produced in neutral space, under specific circumstances, the movement-parameter can be altered from [∅] to specifications for both path- and hand-internal movement. This creates four types of numerals: (1) event numerals, (2) transfer numerals, (3) conjunction numerals, and (4) list numerals. I analyze the syntactic structures of these four numerals as follows: Firstly, event numerals quantify the number of times an event denoted by V has occurred and in syntax the numeral is located in a FreqP in Spec,VP. Secondly, transfer numerals show transfer of ownership and are within the DP complement of V0. Thirdly, the conjunction numeral indicates that all items of a set are included and the numeral is located within ConjP. Finally, the list numeral is the head of a NumeP with a [list]-feature within DP.
",SIGN LANGUAGE & LINGUISTICS
10.1075/sll.21004.gur,"Cansu Gür, Beyza Sümer",Learning to introduce referents  in narration is resilient to the effects  of late sign language exposure, ,2022,"
The present study investigates the effects of late sign language exposure on narrative development in Turkish Sign
                    Language (TİD) by focusing on the introductions of main characters and the linguistic strategies used in these introductions. We
                    study these domains by comparing narrations produced by native and late signers in TİD. The results of our study reveal that late
                    sign language exposure does not hinder the acquisition of linguistic devices to introduce main characters in narrations. Thus, their
                    acquisition seems to be resilient to the effects of late language exposure. Our study further suggests that a two-year exposure to
                    sign language facilitates the acquisition of these skills in signing children even in the case of late language exposure, thus
                    providing further support for the importance of sign language exposure to develop linguistic skills for signing children.
",SIGN LANGUAGE & LINGUISTICS
