doi,author,title,year,abstract,journal
 ,"Gabrijela Buljan, Ivan Marković, Petar Vuković, Vesna Deželjin, Jurica Polančec, Lia Dragojević, Barbara Kerovec, Rea Lujić","


						Ima li mjesta za preobrazbu u denominalnoj tvorbi hrvatskih  glagola?					

", ,"

 
			Opširnije:			Hrvatski cirkumfiks jo–…–ń		
",SUVREMENA LINGVISTIKA
 ,"Marijan Palmović, Ines Galić Jušić","

				Anticipirajući pokreti oka i posebne jezične teškoće			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,Frederik Kortlandt,"

				Glotalizacija i geneza tona u athabaskanskom, baltoslavenskom i germanskom			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,Lucija Šimičić,"

				Auer, P., Hinskens, F. and Kerswill, P., eds. Dialect Change: Convergence and Divergence in European Languages			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,Kristian Novak,"

				Zrinjka Glovacki-Bernardi, August Kovačec, Ranko Matasović, Milan Mihaljević, Dieter W. Halwachs, Karl Sornig, Christine Penzinger, Richard Schrodt: Uvod u lingvistiku, 2., prošireno izdanje			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,"Željka Fink , Anita Hrnjak ","

				Prikazi, ocjene, osvrti			
", ,"Prikazi, ocjene, osvrti",SUVREMENA LINGVISTIKA
 ,Ivan Ivas ,"

				Strana imena u hrvatskome standardnom izgovoru			
", , ,SUVREMENA LINGVISTIKA
 ,Dalibor Brozović ,"

				O dijalektologiji kao jezikoslovnoj disciplini			
", , ,SUVREMENA LINGVISTIKA
 ,"Ida Raffaelli, Mateusz-Milan Stanojević, Milan Mihaljević, , Vladimir Karabalić, , Branimir Belaj, Goran Tanacković Faletar, Ismail Palić, Lidija Šaravanja, Kristina Štrkalj Despot, Irena Zovko Dinković, Orsolya Žagar Szentes","


						Riječ glavne urednice					

", ,"

 
			Opširnije:			Dopune percepcijskih glagola u hrvatskome crkvenoslavenskom jeziku		
",SUVREMENA LINGVISTIKA
 ,"Barbara Kovačević , Ivana Grubić , Milan Mihaljević , Željka Brlobaš , Ivana Jerolimov , Vesna Badurina-Stipčević , Vida Lučić , Ivana Matas Ivanković","

				Obznane			
", ,Ivana Jerolimov ,SUVREMENA LINGVISTIKA
 ,Neda Pintarić,"

				Boguslaw Dunaj: Slownik wspolczesnego jezika polskiego			
", , ,SUVREMENA LINGVISTIKA
 ,"Ljiljana Šarić, Svetlana Nedelcheva","

				Glagolski prefiks o(b)- u hrvatskome i bugarskome: semantička mreža i izazovi korpusno utemeljena istraživanja			
", , ,SUVREMENA LINGVISTIKA
 ,Nina Tuđman Vuković,"

				Stefan Th. Gries i Anatol Stefanowitsch (ur.): Corpora in Cognitive Linguistics. Corpus-Based Approaches to Syntax and Lexis			
", , ,SUVREMENA LINGVISTIKA
